민원일자,민원위치,민원내용,위도,경도
2020-10-27,전라북도 익산시 망성명 장선리 623-9 부근,도로 파손으로 인한 복구 요청,36.1193068,127.0224092
2020-10-28,전라북도 김제시 금구면 월전리 593-1일원,도로 파손으로 인한 복구 요청,35.7807096,127.0169543
2020-11-02,전라북도 익산시 망성명 장선리 265-3 부근,도로 파손으로 인한 복구 요청,36.1254443,127.0258436
2020-11-02,전라북도 익산시 망성명 장선리 422-2 부근,도로 파손으로 인한 복구 요청,36.1214141,127.0213278
2020-11-02,전라북도 순창군 복흥면 대방리 444-1 부근,도로 파손으로 인한 복구 요청,35.421472,126.9369153
2020-11-06,전라북도 익산시 웅포면 웅포리 산58-2 일원,도로 파손으로 인한 복구 요청,36.0643182,126.8801308
2020-11-12,전라북도 김제시 만경읍 몽산리 126-2 일원,도로 파손으로 인한 복구 요청,35.8548476,126.8152404
2020-11-12,전라북도 완주군 소양면 신원리 471-4번지 부근,과속방지턱 설치요청,35.8543208,127.2944615
2020-11-12,전라북도 정읍시 영원면 앵성리 800-13일원,도로 파손으로 인한 복구 요청,35.6638361,126.7490292
2020-11-17,전라북도 익산시 황등 용산사거리,회전교차로 경계석 파손으로 인한 복구 요청,36.0007457,126.9422854
2020-11-17,전라북도 임실군 관촌면 관진로 255-5 부근,과속방지턱 설치요청,35.6787374,127.2932829
2020-11-28,전라북도 김제시 만경읍 몽산리 126-2 일원,도로 파손으로 인한 복구 요청,35.8548476,126.8152404
2020-12-07,전라북도 김제시 봉남면 회성리 199-2일원,도로 파손으로 인한 복구 요청,35.7305514,126.9399254
2020-12-07,전라북도 완주군 이서면 이성리 592-32 부근,과속방지턱 설치요청,35.809215,127.0442176
2020-12-15,전라북도 진안군 주천면 주양리 437-4일원,도로 파손으로 인한 복구 요청,35.97482,127.4258611
2020-12-19,전라북도 남원시 대강면 방동리 1461-2 부근,도로 파손으로 인한 복구 요청,35.3420793,127.2165533
2020-12-27,전라북도 남원시 주천면 장안리 612-11 부근(남원 장안 회전교차로),표지판 고장으로 인한 복구 요청,35.3906996,127.4406837
2021-01-03,전라북도 남원시 대산면 옥율리 744일원,도로 파손으로 인한 복구 요청,35.4516778,127.3356535
2021-01-04,전라북도 김제시 만경읍 만경리 751,도로 파손으로 인한 복구 요청,35.8527218,126.8181946
2021-01-05,전라북도 부안군 변산면 중계리 산10-18,도로 파손으로 인한 복구 요청,35.6496888,126.5943703
2021-01-11,전라북도 김제시 진봉면 고사리 18-1,도로 파손으로 인한 복구 요청,35.8578607,126.7660036
2021-01-11,전라북도 김제시 진봉면 고사리 1843,도로 파손으로 인한 복구 요청,35.8548923,126.7672718
2021-01-25,전라북도 완주군 이서면 상개리 668-24,도로 파손으로 인한 복구 요청,35.8151338,127.0332857
2021-01-28,"전라북도 완주군 화산면 화월리 897-1, 699-1, 화평리 743-5, 운곡리 126-2",도로 파손으로 인한 복구 요청,36.0332215,127.2003977
2021-01-28,전라북도 익산시 낭산면 석천리 954-1,도로 파손으로 인한 복구 요청,36.0754335,127.0352991
2021-02-02,전라북도 김제시 백산면 부거리 1618,도로 파손으로 인한 복구 요청,35.8433472,126.8705223
2021-02-15,전라북도 김제시 봉남면 용신리 ~ 행촌리 (지방도 714호선),해당 노선 전반적인 유지보수,35.7370982,126.929788
2021-02-15,전라북도 익산시 황등면 율촌리 839일원 (지방도 718호선),해당 노선 포장불량,36.0248431,126.9590277
